Year,Month,Value,city,month_date,treated,time
2023,Sep,7.2,Bakersfield,2023-09-01,0,1
2023,Oct,7.5,Bakersfield,2023-10-01,0,1
2023,Nov,7.6,Bakersfield,2023-11-01,0,1
2023,Dec,8.4,Bakersfield,2023-12-01,0,1
2024,Jan,9,Bakersfield,2024-01-01,0,1
2024,Feb,9.7,Bakersfield,2024-02-01,0,1
2024,Mar,9.7,Bakersfield,2024-03-01,0,1
2024,Apr,8.8,Bakersfield,2024-04-01,0,1
2024,May,8.4,Bakersfield,2024-05-01,0,1
2024,Jun,9,Bakersfield,2024-06-01,0,1
2024,Jul,9.3,Bakersfield,2024-07-01,0,1
2024,Aug,8.5,Bakersfield,2024-08-01,0,1
2024,Sep,7.5,Bakersfield,2024-09-01,0,1
2024,Oct,7.6,Bakersfield,2024-10-01,0,1
2024,Nov,8,Bakersfield,2024-11-01,0,1
2024,Dec,8.2,Bakersfield,2024-12-01,0,1
2025,Jan,9,Bakersfield,2025-01-01,0,1
2020,Nov,3.7,Billings,2020-11-01,0,0
2020,Dec,3.9,Billings,2020-12-01,0,0
2021,Jan,4.3,Billings,2021-01-01,0,0
2021,Feb,4.4,Billings,2021-02-01,0,0
2021,Mar,3.9,Billings,2021-03-01,0,0
2021,Apr,3.4,Billings,2021-04-01,0,0
2021,May,2.9,Billings,2021-05-01,0,0
2021,Jun,3.7,Billings,2021-06-01,0,0
2021,Jul,3.2,Billings,2021-07-01,0,0
2021,Aug,2.9,Billings,2021-08-01,0,0
2021,Sep,2.2,Billings,2021-09-01,0,0
2021,Oct,2.3,Billings,2021-10-01,0,0
2021,Nov,2.2,Billings,2021-11-01,0,0
2021,Dec,2.4,Billings,2021-12-01,0,0
2022,Jan,3.1,Billings,2022-01-01,0,1
2022,Feb,2.8,Billings,2022-02-01,0,1
2022,Mar,2.6,Billings,2022-03-01,0,1
2022,Apr,2.4,Billings,2022-04-01,0,1
2022,May,2.2,Billings,2022-05-01,0,1
2022,Jun,2.8,Billings,2022-06-01,0,1
2022,Jul,2.5,Billings,2022-07-01,0,1
2022,Aug,2.4,Billings,2022-08-01,0,1
2022,Sep,1.9,Billings,2022-09-01,0,1
2022,Oct,2.1,Billings,2022-10-01,0,1
2022,Nov,1.9,Billings,2022-11-01,0,1
2022,Dec,2.2,Billings,2022-12-01,0,1
2023,Jan,2.7,Billings,2023-01-01,0,1
2023,Feb,2.6,Billings,2023-02-01,0,1
2023,Mar,2.5,Billings,2023-03-01,0,1
2023,Apr,2.1,Billings,2023-04-01,0,1
2023,May,2.1,Billings,2023-05-01,0,1
2023,Jun,2.5,Billings,2023-06-01,0,1
2023,Jul,2.3,Billings,2023-07-01,0,1
2023,Aug,2.4,Billings,2023-08-01,0,1
2023,Sep,2.1,Billings,2023-09-01,0,1
2023,Oct,2.4,Billings,2023-10-01,0,1
2023,Nov,2.3,Billings,2023-11-01,0,1
2023,Dec,3,Billings,2023-12-01,0,1
2024,Jan,3.4,Billings,2024-01-01,0,1
2024,Feb,3.3,Billings,2024-02-01,0,1
2024,Mar,2.9,Billings,2024-03-01,0,1
2024,Apr,2.6,Billings,2024-04-01,0,1
2024,May,2.5,Billings,2024-05-01,0,1
2024,Jun,3.1,Billings,2024-06-01,0,1
2024,Jul,3,Billings,2024-07-01,0,1
2024,Aug,2.8,Billings,2024-08-01,0,1
2024,Sep,2.4,Billings,2024-09-01,0,1
2024,Oct,2.3,Billings,2024-10-01,0,1
2024,Nov,2.4,Billings,2024-11-01,0,1
2024,Dec,2.8,Billings,2024-12-01,0,1
2025,Jan,3,Billings,2025-01-01,0,1
2020,Nov,6.9,Casper,2020-11-01,0,0
2020,Dec,7.2,Casper,2020-12-01,0,0
2021,Jan,8.1,Casper,2021-01-01,0,0
2021,Feb,8,Casper,2021-02-01,0,0
2021,Mar,7.4,Casper,2021-03-01,0,0
2021,Apr,6.8,Casper,2021-04-01,0,0
2021,May,5.8,Casper,2021-05-01,0,0
2021,Jun,6.2,Casper,2021-06-01,0,0
2021,Jul,5.3,Casper,2021-07-01,0,0
2021,Aug,5,Casper,2021-08-01,0,0
2021,Sep,4.1,Casper,2021-09-01,0,0
2021,Oct,3.9,Casper,2021-10-01,0,0
2021,Nov,3.9,Casper,2021-11-01,0,0
2021,Dec,3.9,Casper,2021-12-01,0,0
2022,Jan,5,Casper,2022-01-01,0,1
2022,Feb,4.6,Casper,2022-02-01,0,1
2022,Mar,4.2,Casper,2022-03-01,0,1
2022,Apr,3.8,Casper,2022-04-01,0,1
2022,May,3.5,Casper,2022-05-01,0,1
2022,Jun,3.6,Casper,2022-06-01,0,1
2022,Jul,3.4,Casper,2022-07-01,0,1
2022,Aug,3.5,Casper,2022-08-01,0,1
2022,Sep,3.1,Casper,2022-09-01,0,1
2022,Oct,3.1,Casper,2022-10-01,0,1
2022,Nov,3.3,Casper,2022-11-01,0,1
2022,Dec,3.4,Casper,2022-12-01,0,1
2023,Jan,4.1,Casper,2023-01-01,0,1
2023,Feb,3.9,Casper,2023-02-01,0,1
2023,Mar,3.7,Casper,2023-03-01,0,1
2023,Apr,3,Casper,2023-04-01,0,1
2023,May,2.7,Casper,2023-05-01,0,1
2023,Jun,2.8,Casper,2023-06-01,0,1
2023,Jul,2.7,Casper,2023-07-01,0,1
2023,Aug,2.6,Casper,2023-08-01,0,1
2023,Sep,2.5,Casper,2023-09-01,0,1
2023,Oct,2.6,Casper,2023-10-01,0,1
2023,Nov,2.7,Casper,2023-11-01,0,1
2023,Dec,2.7,Casper,2023-12-01,0,1
2024,Jan,3.6,Casper,2024-01-01,0,1
2024,Feb,3.5,Casper,2024-02-01,0,1
2024,Mar,3.4,Casper,2024-03-01,0,1
2024,Apr,3,Casper,2024-04-01,0,1
2024,May,2.9,Casper,2024-05-01,0,1
2024,Jun,3.2,Casper,2024-06-01,0,1
2024,Jul,3.2,Casper,2024-07-01,0,1
2024,Aug,3.2,Casper,2024-08-01,0,1
2024,Sep,2.9,Casper,2024-09-01,0,1
2024,Oct,3.2,Casper,2024-10-01,0,1
2024,Nov,3.5,Casper,2024-11-01,0,1
2024,Dec,3.7,Casper,2024-12-01,0,1
2025,Jan,4.3,Casper,2025-01-01,0,1
2020,Nov,6,Dallas,2020-11-01,0,0
2020,Dec,5.9,Dallas,2020-12-01,0,0
2021,Jan,6.3,Dallas,2021-01-01,0,0
2021,Feb,6.1,Dallas,2021-02-01,0,0
2021,Mar,5.8,Dallas,2021-03-01,0,0
